stop_num,name,directions_to_next_stop,learn_more_URL,travel_tip,description,location,image_current,image_historic,gps_long,gps_lat,badge,tour_id,admin_id
1,Trust Building/Durham Visitor Info Center,"As you exit the DVB on to Main St, turn to your right",http://www.opendurham.org/buildings/trust-building,"Step inside the visitor center for travel tips, then head next door to Runaway for hip Durham t-shirts and apparel.","The historic Trust Building, a Beaux Arts-style structure, was the tallest office building in the state at the time of its construction in 1905. It featured Durham's first elevator and housed a mix of businesses including Fidelity Bank run by Benjamin Duke. It is still a multi-tenant office building including the Durham Convention & Visitors Bureau where visitors can get directions, maps, and travel tips.",BEGIN AT 212 W MAIN ST #101 ,https://c2.staticflickr.com/4/3384/5763475228_9228b8dce3_b.jpg,https://www.etsy.com/listing/270990202/linen-postcard-durham-north-carolina-us,-78.9018154,35.9959669,,1,1
2,Old Hill Building,,,, 1925 Georgian revival Old Hill Building commissioned by John Sprunt Hill.,307 W Main St,,,,,,1,1
3,Temple Building,,,, 1909 Spanish colonial-style Temple Building built with leftover materials from the 1909 Watts Hospital.,302 W Main St,,,,,,1,1
4,Former Kronheimer's Department Store,,http://www.opendurham.org/buildings/315-west-main-st-kronheimers,,"Benjamin Franklin Kronheimer constructed the building between 1898 and 1902 as Kronheimer's department store, which he operated throughout the early part of the 20th century. It continued to house retail establishments through the mid 20th century including Raylass and Revco.",315 W Main St,screen shot from Google Maps?,http://www.opendurham.org/sites/default/files/images/2007_1/Kronheimer_1905.jpeg,,,,1,1
5,Snow Building,,,," One of Durham’s finest art deco structures, built in 1933. Its elevator was the last in the state run by a full-time operator.",Main St,,,,,,1,1
6,Five Points/Muirhead Plaza,,http://centerfest.durhamarts.org/,"Muirhead Plaza, located in the east-side wedge between Main & Chapel Hill streets, is named for William Muirhead, founder of Muirhead Construction Co. Five Points is currently home to CenterFest, the annual Art Lover's Festival.", Includes site of 1906 invention of BC Headache Powder.,"108 Morris St, Downtown Durham
Durham, NC 27701 (Intersection of W Main, E Chapel Hill, and Morris Sts)",,,-78.9035641,35.9972665,,1,1
7,Civil Rights mural,,http://www.muraldurham.com/,,"The Durham Civil Rights mural brings to life some lesser-known stories of the local civil rights movement in vivid colors. Artist Brenda Miller Holmes and Dr. Benjamin Speller, former Dean of Library Sciences at North Carolina Central University, developed the concept for the mural, with input from 30 community members. The mural was completed in 2015. More detailed information can be found at http://www.muraldurham.com/.",At the parking lot next to 120 Morris St.,,https://47ebuk2x3s952razcdlwtqb1-wpengine.netdna-ssl.com/wp-content/uploads/2016/01/2015_0912civilRIghtsMural172.jpg from https://durhammag.com/2016/01/22/6-photos-that-capture-durham-perfectly/,,,,1,1
8,Durham Arts Council,Look left along Great Jones St.,,," Former 1906 Central High School and later City Hall. Now 52,000-sq.- ft. arts center with performance space, three galleries, and meeting rooms. ",120 Morris St,,,,,,1,1
9,Museum of Durham History Hub,Turn right along Morgan St,https://www.museumofdurhamhistory.org/,,"The Durham History Hub serves as a physical outpost of the Museum of Durham History website. The Museum uses stories about people, places and things to foster curiosity, encourage further inquiry, and promote an understanding of diverse perspectives about the Durham community and its history. The exhibits are rotated on a frequent basis, so there is always something new to see!",500 W Main St,http://durhamchamber.org/wp-content/uploads/2014/06/HistoryHub03-WM.jpg from http://durhamchamber.org/quality-of-life/community-profile/durham-history,,-78.9049933,35.9982851,History Buff Badge,1,1
10,Durham Centre Building & Plaza,,,," Fifteen-story commercial building housing the Greater Durham Chamber of Commerce and Duke Clinical Research Institute, a powerhouse behind research trials as well as a major area employer. ",300 W Morgan St,,,,,,1,1
11,Carolina Theatre,,http://www.carolinatheatre.org/,"Step inside to view two history exhibits. ""Confronting Change"" documents integration at the theater and ""A Century Downtown"" follows the theater's history.","Renovated 1926 Beaux Arts-style theater housing the historic Fletcher Hall for live performances, as well as two cinemas for year round film screenings. Originally named Durham Auditorium, by the 1940s and 50s the Carolina Theatre was a hub for arts with lives shows featuring stars like Ronald Reagan and Katherine Hepburn. In the early 1960s the segregated theater was the center of civil rights protests. Later decades saw the theater fall into decline, being considerd for demolition until a volunteer effort successfully saved and preserved the theater.",309 W Morgan St,"https://res.cloudinary.com/simpleview/image/upload/h_336,w_520,c_fill/crm/durham/1423-carolinatheatre1010_5e9ee93e-5056-a348-3ae664a192dfd5cf.jpg",http://www.opendurham.org/sites/default/files/images/2007_1/carolinafront_1947.jpg,-78.9027995,35.9978295,,1,1
12,Civic Center Plaza,CONTINUE TO EXTENSION A OR TURN RIGHT ON FOSTER ST. South on Foster,,," Includes fountains, outdoor gathering space, and seating. ",201 Foster St,,,,,,1,1
13,Durham Armory,,,, Durham’s original Civic Center from the late 1950s to 1989. Built by the Works Progress Administration in 1937 to house a National Guard machine-gun company. ,220 Foster St,,,,,,1,1
14,The Durham Convention Center,CONTINUE ON CORCORAN,,," Anchors the Durham Convention Center Complex and includes 102,940-netsq.-ft. of exhibition/banquet halls, theaters, meeting rooms, reception areas, galleries, and an outdoor plaza. Durham can host most of the nation’s conventions and meetings. ",301 W Morgan St,,,,,,1,1
15,CCB Plaza," VIEW RIGHT, PAST CCB PLAZA",https://www.facebook.com/pages/CCB-Plaza/139958862711830,"Snap a photo with Major the bull, Durham's mascot. Durham became referred to as the Bull City after the Bull Durham Tobacco brand manufactured in the city until 1957.","Named for the former Central Carolina Bank, the plaza’s focus is The Major, a lifesized, one-ton bronze bull a legacy emblem of Durham), commissioned by the bank and crafted by local artisans at the George Watts Hill Pavilion for the Arts. The plaza is a central gathering place in downtown where many community based events and performances take place.",E Chapel Hill and Corcoran St,http://photobucket.com/gallery/user/opalberry/media/bWVkaWFJZDoyMzAzNTk4Mg==/?ref=,http://www.newsobserver.com/latest-news/7o6tka/picture7087943/alternates/FREE_640/qTee6.So.156.jpeg,,,Bull City Pride Badge,1,1
16,Bull City Business Center,VIEW LEFT ON CHAPEL HILL ST.,,," Former home of The HeraldSun newspaper; built in the late 1920s with Italian Renaissance styling. Now home to Downtown Durham, Inc. ",115 Market St,,,,,,1,1
17,The Durham Hotel,,https://thedurham.com/,"Coffee shop, rooftop raw bar and American restaurant by James Beard Award-winning chef Andrea Reusing."," Now a boutique hotel, this mid-century building is a former Home Savings Bank ","315 East Chapel Hill Street, Durham, NC, United States",,,-78.900891,35.9971857,,1,1
18,Through This Lens,,,," Gallery of fine art photography that also offers books, posters, and other items related to photography. ",303 E Chapel Hill St,,,,,,1,1
19,Durham Arts Place,TURN LEFT ON W PARRISH ST,,, Art studio complex. ,305 E Chapel Hill St,,,,,,1,1
20,Unscripted Hotel,,,,"Unscripted Hotel opened its doors in the summer of 2017, after an extensive facelift of the old Jack Tar Motor Lodge, which was originally built in the early 1960’s. Alongside, minimalist-styled rooms, visitors have options to choose when they’re ready to relax with a beverage. The Patio is a poolside lounge and The Studio, offers a mid-century styled rec-room atmosphere.",202 N Corcoran St,http://www.unscriptedhotels.com/i/SITE_170307_12415694_1H0UM/content/app/C377CDF7-9DAF-2B23-A57C7EE331ABA0A9.JPG,"http://www.opendurham.org/buildings/jack-tar-motel, see - http://www.opendurham.org/sites/default/files/images/2011_11/Oprah_072008.jpg",-78.9012208,35.9963971,,1,1
21,City Center,,,," A 27-story skyscraper, which will be home to condos, retail, and office space, is under construction at the site of the former Downtown Durham Woolworth store. In the late 1950s, Rev. Douglas Moore and Floyd McKissick of Durham pioneered the student sit-in movement in several states and trained participants at churches around the community. After national media reported a 1960 sit-in held in nearby Greensboro, Durham protesters began a sit-in at the Woolworth lunch counter – the first attended by Dr. Martin Luther King Jr.",110 Corcoran Street,,,,,,1,1
22,Historic Parrish Street/ Black Wall Street,,,," Known as America’s Black Wall Street from the 1900s. In the 1960s, the street again attracted national attention as a place where civil rights pioneers staged sit-ins and received a memorable visit from Dr. Martin Luther King Jr. Features six public art sculptures marking the significance of Historic Parrish Street. ",Parrish St,,,,,Black Wall Street Badge,1,1
23,116 West Parrish - National Historic Monument,,,," Built in 1921 for North Carolina Mutual Life Insurance Co.; later home to and still a branch of Mechanics and Farmers Bank, one of the oldest African American-owned banks in the country. ",315 W Main St,,,,,,1,1
24,Parrish Street Forum,,,, The Parrish Street Common Room is an interpretive space honoring the legacy of African-American entrepreneurs and businesses that developed America’s Black Wall Street. Located in the original 1908 headquarters of Mechanic and Farmers Bank. ,112 W Parrish St,,,,,,1,1
25,Orange Street Mall," WHILE HERE, SEE #24 THROUGH ORANGE ST MALL",,, Brick walkway named for a 19thcentury tobacco brand Orange of Durham. ,E Chapel Hill St and W Parrish St,,,,,,1,1
26,US Postal Service - Downtown,HEAD NORTH ON MANGUM,http://www.opendurham.org/buildings/us-post-office-1934,"The building is distinguished by a Doric colonnade between twin entrances at either end of the Chapel Hill Street frontage, themselves set off by Doric pilasters.", 1934 neoclassical building paid for in 15 minutes of its first day of operation by taxes on local tobacco. ,"323 E Chapel Hill St, Durham, NC 27701, USA",,,-78.9003028,35.9972218,,1,1
27,Rogers Alley,TURN RIGHT ON CITY HALL PLAZA,,," Three buildings converted into residential, restaurants, etc., including the 1904 fire station and Wright Building, long known as Roger’s Pharmacy. ",Corner of Mangum St & E Parrish St,,,,,,1,1
28,Durham City Hall & City Hall Plaza,TURN RIGHT ON LIBERTY AND RIGHT ON N. CHURCH ST.,,," Recognized as a place by the Post Office between 1819 and 1823, Durham gained its current name in 1853, and was incorporated by the state in 1869. ",101 City Hall Plz,,,,,,1,1
29,Trinity United Methodist Church," TURN LEFT ON E PARRISH ST, RIGHT ON ROXBORO, AND RIGHT ON E MAIN. FOLLOW N ROXBORO TO EXTENSION E OR TURN LEFT ON N ROXBORO TO CONTINUE ON TO EXTENSION F.",,, T1924 Gothic revival church noted for wood carvings. ,215 N Church St,,,,,,1,1
30,Former Durham County Department of Social Services,,,, Established in 1919. The new social services building is at E5. ,220 E Main St,,,,,,1,1
31,Historic Durham County Courthouse,,,, Renovated 1916 neoclassical revival that replaced the 1887 courthouse that once stood on this site. ,200 E Main St,,,,,Civics Badge,1,1
32,Former Durham County Judicial Building,,,,"Site was once the famous Rialto Theater, poolroom, barbershop, and jazz bar.",201 E Main St,,,,,,1,1
33,Celebrate mural ,,http://www.muraldurham.com/celebrate-1996/,Tour Durham murals on bike every Saturday from May-Nov. Starts 10AM at Durham Central Park. Bring your own bike.,Celebrate mural created by Michael Brown in 1996. ,108 E Main St,https://static1.squarespace.com/static/56fbeb9359827ece894816f7/t/59b1666fbebafb8e3e33d787/1504798324517/Screen+Shot+2017-09-07+at+11.31.30+AM.png,,,,,1,1
34,Kress Building,,,," Built in 1932, one of the largest and most elaborately detailed art deco buildings in North Carolina and the first building in Durham to have air conditioning. Now luxury condos and offices of Greenfire Development. ",101 W Main St,,,,,,1,1
35,Historic Baldwin Building,,,, 1927 neoclassical building; now home to loft-style apartments and a restaurant. ,107 W Main St,,,,,,1,1
36,1893 Queen Anne-style building,,,, The oldest building that remains inside the Downtown Loop. ,111 W Main St,,,,,,1,1
37,“City View” - First National Bank Building,,,," Originally the site of the 1840s home of Durham namesake Dr. Bartlett Durham. Present building is the neoclassical 1914 First National Bank, with notable cast-iron, flower-swagged canopy. ",123 W Main St,,,,,,1,1
38,21c Museum Hotel,,,," This boutique hotel is home to a museum that is free and open to the public. It’s located in the historic 1935 art deco Hill Building, designed by the same architectural firm that designed the Empire State Building. ",111 Corcoran St,,,-78.9018555,35.9960903,,1,1